title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Kaleidoscope,0.456,0.766,6.0,-3.935,1.0,0.038,0.00786,0.000413,0.115,0.31,180.027,pop
Rearrange,0.687,0.429,10.0,-6.524,1.0,0.0344,0.298,0.00032,0.193,0.232,121.11,pop
Alright,0.558,0.934,0.0,-3.503,1.0,0.0345,0.00433,0.0138,0.101,0.55,119.973,pop
Does It Feel Like Falling (Feat. Trinidad Cardona),0.71,0.863,6.0,-3.571,0.0,0.0483,0.0482,3.51e-05,0.0886,0.276,110.065,pop
Alone,0.423,0.621,8.0,-7.357,1.0,0.064,0.36,1.13e-06,0.183,0.176,115.321,pop
WE KNOW WHERE YOU FUCKING LIVE,0.686,0.874,2.0,-6.416,1.0,0.0545,0.000338,0.0795,0.137,0.397,130.002,pop
Think About That,0.494,0.614,7.0,-9.29,0.0,0.155,0.446,2.23e-05,0.128,0.501,176.248,pop
Tell Me You Love Me,0.762,0.797,5.0,-2.71,1.0,0.135,0.117,0.0,0.202,0.525,122.066,pop
Best Friend,0.699,0.7,11.0,-5.704,1.0,0.0392,0.0109,0.0794,0.152,0.3,102.023,pop
Fireproof - DIMA Remix,0.672,0.61,11.0,-8.675,1.0,0.0435,0.495,3.46e-05,0.126,0.591,103.915,pop
